"date","site_id","air_pressure_min","air_pressure_max","air_pressure_avg","air_temperature_min","air_temperature_max","air_temperature_avg","eastward_wind_min","eastward_wind_max","eastward_wind_avg","northward_wind_min","northward_wind_max","northward_wind_avg","precipitation_flux_min","precipitation_flux_max","precipitation_flux_avg","relative_humidity_min","relative_humidity_max","relative_humidity_avg","surface_downwelling_longwave_flux_in_air_min","surface_downwelling_longwave_flux_in_air_max","surface_downwelling_longwave_flux_in_air_avg","surface_downwelling_shortwave_flux_in_air_min","surface_downwelling_shortwave_flux_in_air_max","surface_downwelling_shortwave_flux_in_air_avg","chla_avg"
2020-09-25,"BARC",100703.546875,101784.1484375,101376.794669859,290.875085449219,308.546716308594,296.443279172015,-3.47922611236572,2.43381094932556,-0.792345048200029,-3.26512432098389,3.4443211555481,-0.87993807569071,-3.70370362091947e-06,9.25925981115412e-05,6.75776596164404e-06,0.37199047088623,0.982000045776367,0.817403156885537,375,443,405.140029415008,0,834,254.951612903226,NA
2020-09-25,"SUGG",100703.546875,101784.1484375,101376.794669859,290.875085449219,308.546716308594,296.443279172015,-3.47922611236572,2.43381094932556,-0.792345048200029,-3.26512432098389,3.4443211555481,-0.87993807569071,-3.70370362091947e-06,9.25925981115412e-05,6.75776596164404e-06,0.37199047088623,0.982000045776367,0.817403156885537,375,443,404.946481027911,0,834,254.951612903226,37.7815277777778
2020-09-26,"BARC",100767.3515625,101784.1484375,101401.554356729,290.875085449219,307.122186279297,296.52059627656,-3.47922611236572,0.64532470703125,-1.52552461935588,-2.78321290016174,2.55814456939697,-0.207792201607678,-0.000148148161393625,9.25925981115412e-05,5.05152336678389e-06,0.43645076751709,0.990009994506836,0.825447560202691,384,454,411.074572163243,0,816,221.911290322581,NA
2020-09-26,"SUGG",100767.3515625,101784.1484375,101401.554356729,290.875085449219,307.122186279297,296.52059627656,-3.47922611236572,0.64532470703125,-1.52552461935588,-2.78321290016174,2.55814456939697,-0.207792201607678,-4.6296293536822e-06,0.000148148161393625,6.23879945943223e-06,0.43645076751709,0.990009994506836,0.825447560202691,384,454,411.02224903722,0,816,221.911290322581,40.3408333333333
2020-09-27,"BARC",100704.84375,101784.1484375,101363.613940167,290.875085449219,303.585198974609,295.738636209632,-3.47922611236572,1.7370263338089,-1.28973870815326,-3.83458161354065,0.814313948154449,-1.27197881354963,-6.85185197464846e-05,0.00131481488545736,0.000278397555136998,0.617637596130371,0.998125457763672,0.883767905440382,390,444,413.495634017452,0,688,119.032258064516,NA
2020-09-27,"SUGG",100704.84375,101784.1484375,101363.613940167,290.875085449219,303.585198974609,295.738636209632,-3.47922611236572,1.7370263338089,-1.28973870815326,-3.83458161354065,0.814313948154449,-1.27197881354963,-6.85185197464846e-05,0.00131481488545736,0.000278375153696852,0.617637596130371,0.998125457763672,0.883767905440382,390,444,413.487804412842,0,688,119.032258064516,15.1234782608696
2020-09-28,"BARC",100488.8125,101784.1484375,101281.54546791,290.875085449219,304.172967529297,295.396025512039,-3.47922611236572,2.46934080123901,-0.678219609092721,-4.55436515808105,3.29400372505188,-1.02277679788536,-9.25914004996971e-07,0.000907407425068043,0.000202822583346998,0.550420188903809,0.982000045776367,0.879109374271926,388.996276855469,436.405151367188,416.878980821179,0,782,164.975806451613,NA
2020-09-28,"SUGG",100488.8125,101784.1484375,101281.54546791,290.875085449219,304.172967529297,295.396025512039,-3.47922611236572,2.46934080123901,-0.678219609092721,-4.55436515808105,3.29400372505188,-1.02277679788536,-9.25914004996971e-07,0.000907407425068043,0.000202822583346998,0.550420188903809,0.982000045776367,0.879109374271926,388.996276855469,436.405151367188,416.891077595372,-2,782,164.951612903226,11.0628125
2020-09-29,"BARC",100309.8125,101784.1484375,101208.03437395,290.875085449219,304.271020507813,295.234548125729,-3.47922611236572,3.56772947311401,-0.431860021846269,-2.78321290016174,5.16095924377441,-0.342151523823605,-9.25925905229869e-07,0.000675925943586561,0.000118466250088262,0.556680908203125,0.99,0.883341005950846,384,428,407.182391505088,0,786,201.177419354839,NA
2020-09-29,"SUGG",100309.8125,101784.1484375,101208.03437395,290.875085449219,304.271020507813,295.234548125729,-3.47922611236572,3.56772947311401,-0.431860021846269,-2.78321290016174,5.16095924377441,-0.342151523823605,-9.25925905229869e-07,0.000675925943586561,0.000118466250088262,0.556680908203125,0.99,0.883341005950846,384,428,407.182391505088,0,786,201.177419354839,11.4144761904762
2020-09-30,"BARC",100701.9375,101784.1484375,101446.701460643,287.203973388672,300.145257568359,292.362802083005,-4.90312242507935,-0.682575682799021,-2.39690348538019,-2.78321290016174,2.26684331893921,-0.466168578188699,-1.85185181045974e-06,0.00011111111552627,4.97311836869646e-06,0.29497106552124,0.989499740600586,0.806524636040452,296,402,340.97931449644,0,866,247.645161290323,NA
2020-09-30,"SUGG",100701.9375,101784.1484375,101446.701460643,287.203973388672,300.145257568359,292.362802083005,-4.90312242507935,-0.682575682799021,-2.39690348538019,-2.78321290016174,2.26684331893921,-0.466168578188699,-1.85185181045974e-06,0.00011111111552627,4.96565123125377e-06,0.29497106552124,0.989499740600586,0.806524636040452,296,402,341.003508044827,0,866,250.318548387097,15.1928819444444
2020-10-01,"BARC",100842.5859375,101784.1484375,101481.372259325,287.477166748047,302.30947265625,292.923973030172,-3.47922611236572,-0.104851074516773,-1.75929857020126,-2.78321290016174,1.73408448696136,-0.721802541142097,0,0,0,0.271991710662842,0.982000045776367,0.749383608461708,298.028686523438,356.998077392578,322.851712872905,0,856,249.032258064516,NA
2020-10-01,"SUGG",100842.5859375,101784.1484375,101481.372259325,287.477166748047,302.30947265625,292.923973030172,-3.47922611236572,-0.104851074516773,-1.75929857020126,-2.78321290016174,1.73408448696136,-0.721802541142097,0,0,0,0.271991710662842,0.982000045776367,0.749383608461708,298.028686523438,356.998077392578,322.875906421292,0,856,249.032258064516,19.8506597222222
2020-10-02,"BARC",100851.296875,101784.1484375,101411.898096228,290.195062255859,301.322381591797,293.383538141558,-3.71081280708313,-0.0270605459809303,-1.93446390919878,-2.78321290016174,1.67712152004242,-0.521482508471837,0,0,0,0.332041893005371,0.982000045776367,0.760697610685902,321,375.708557128906,348.802780643586,0,782,211.66935483871,NA
2020-10-02,"SUGG",100851.296875,101784.1484375,101411.898096228,290.195062255859,301.322381591797,293.383538141558,-3.71081280708313,-0.0270605459809303,-1.93446390919878,-2.78321290016174,1.67712152004242,-0.521482508471837,0,0,0,0.332041893005371,0.982000045776367,0.760697610685902,321,375.708557128906,348.735143846081,0,782,211.66935483871,25.6699652777778
2020-10-03,"BARC",100999.3046875,101784.1484375,101470.674962198,289.400231933594,301.452142333984,293.106052981141,-5.37442874908447,-0.947790503501892,-2.57083990777372,-3.66772937774658,0.753930628299713,-1.23848196431295,0,0.000166666673289405,4.18160108208496e-06,0.497572937011719,0.982000045776367,0.799443343018973,331.156677246094,425.055847167969,368.893863554924,0,760,138.354838709677,NA
2020-10-03,"SUGG",100999.3046875,101784.1484375,101470.674962198,289.400231933594,301.452142333984,293.106052981141,-5.37442874908447,-0.947790503501892,-2.57083990777372,-3.66772937774658,0.753930628299713,-1.23848196431295,0,0.000166666673289405,4.18160108208496e-06,0.497572937011719,0.982000045776367,0.799443343018973,331.156677246094,434,369.024901359312,0,760,138.354838709677,29.4597916666667
2020-10-04,"BARC",100989.84375,101784.1484375,101476.7992114,290.875085449219,295.018518066406,292.950961213471,-5.55933332443237,-1.50707519054413,-2.73735834706214,-2.78321290016174,1.25937736034393,-1.09905973485823,0,0.00199629637930128,0.000177942057484549,0.77862174987793,1.00008941650391,0.911380589854333,397.818481445312,420.213500976562,409.568889987084,-2,120,13.7338709677419,NA
2020-10-04,"SUGG",100989.84375,101784.1484375,101476.7992114,290.875085449219,295.018518066406,292.950961213471,-5.55933332443237,-1.50707519054413,-2.73735834706214,-2.78321290016174,1.25937736034393,-1.09905973485823,-2.77777788815675e-05,0.00199629637930128,0.00017771804313873,0.77862174987793,1.00008941650391,0.911380589854333,397.818481445312,420.213500976562,409.555354579802,-2,120,13.7338709677419,34.749375
